ID,Gender,What is your field of working? (mention your position in specific) ,"Years of experience ( Eg: 2 yrs, 5 yrs )",Which of the following best describes your age group?,Which of these describes your personal income last year? ,,How satisfied are you with your current job?,Do you have career growth and development opportunities at your organisation?,Have you ever had to take your work to home in order to complete it? (apart from covid related work from home ),How long do you stay at your office after office hours?, How much do you think you are sacrificing your personal happiness for your professional success,Do you think  your workplace environment as adaptable that can drive better mental health?,Have any of your family members ever expressed dissatisfaction regarding the time you spend for office work?,Have you ever been treated low by your subordinates or co workers?,How many times a week have you interacted with your superior?,How often have you received feedbacks from your senior leader?  ( feedback could be formal or informal) , Would you demand or negotiate a promotion?,Have you experienced any unfairness in your payment as compared to your co-worker who have same qualifications and experience?,What is the highest degree or level of education you have completed?,Did you ever feel like you need to put extra effort to get promoted compared to others?,Have you faced any difficulties at your work place due to your responsibility as a mother/father?,Have you ever faced any discrimination at your workplace?,Would you like to share any problems you have faced at your workplace?,"On average, how many hours do you work on a day?",How good is your relationship with your superior?,Which of the following qualities do you think you have?
1,Female,Data,1,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,6,Salary is my only concern,"No, I don't bring my work back home",I don't stay overtime,5,No,Sometimes,Never,Only during meetings,Very often,Never,"No, I haven't",Bachelor's degree,No,Yes,No,paruuuuuuuuu,More than 10 hours,5,
2,Female,it,3,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),I have stayed over night,2,Yes,No,Sometimes,Only during meetings,Sometimes,Maybe,"No, I haven't",Bachelor's degree,Yes,No,No,,8 - 10 hours,4,
3,Female,it,2,under 20 yrs,"5,50,000 - 6,50,000 INR",,1,Yes,"Yes, everyday",1 hour maximum,1,Yes,Sometimes,Never,everyday,Very often,"Yes, I would","No, I haven't",Bachelor's degree,Yes,Yes,No,hi hi hi hiiiii sukhanooo????,5 - 7 hours,5,
4,Male,Specialist IT Resources,13,31- 40 yrs,700000,,6,No,Sometimes ( depends on the urgency of the work),I don't stay overtime,0,Yes,No,Never,Only during meetings,Very often,Never,"Yes, I have",Master's degree,No,No,No,,8 - 10 hours,5,
5,Male,Medical billing - Account Executive,3,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,Yes,"No, I don't bring my work back home",1 hour maximum,1,Yes,Sometimes,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,I haven't had any problems till date. ,8 - 10 hours,4,
6,Female,Civil engineering,20,41 - 50 yrs,"5,50,000 - 6,50,000 INR",,5,No,Sometimes ( depends on the urgency of the work),I don't stay overtime,0,No,No,Never,Depends,Very often,Never,"Yes, I have",Diploma,No,No,No,Salary could be improved and office set up also,5 - 7 hours,3,
7,Male,Civil site supervisor ,3,20 - 30 yrs,"below 2,00,000 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,3,Yes,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Diploma,No,Yes,No,I deserve better,8 - 10 hours,4,
8,Female,Superintendent ,15,41 - 50 yrs,Above 1000000,,6,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,0,Yes,No,Never,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,No,8 - 10 hours,5,
9,Male,IT Engineer ,6,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,4,Yes,"Yes, everyday",I have stayed over night,3,Yes,Yes,Never,Only during meetings,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,No,No,,8 - 10 hours,3,
10,Female,Senior Engineer - R&D,3,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,6,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,2,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,Can't think of any now,8 - 10 hours,4,
11,Female,Credit Controller ,2,20 - 30 yrs,"Above 6,50,000",,6,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,5,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,Yes,No,No,,8 - 10 hours,5,
12,Female,IT,1,20 - 30 yrs,"below 2,00,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,4,Yes,Sometimes,Never,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,5,
13,Male,Education (Assistant Professor ),4,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,No,"Yes, everyday",Will leave the office before 7 PM,4,No,Sometimes,Sometimes,everyday,Sometimes,Never,"Yes, I have",Master's degree,No,No,No,Nope,8 - 10 hours,4,
14,Female,IT,4,20 - 30 yrs,Na,,4,No,Sometimes ( depends on the urgency of the work),1 hour maximum,4,Yes,No,Sometimes,Depends,Sometimes,Maybe,"Yes, I have",Bachelor's degree,Yes,Not a parent,Yes,,8 - 10 hours,2,
15,Male,Information Technology (Data Science Consultant),3,20 - 30 yrs,"9,00,000",,3,Yes,"Yes, everyday",I don't stay overtime,2,No,Yes,Sometimes,everyday,Very often,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,Yes,Too many incompetent people to babysit,5 - 7 hours,5,
16,Male,Civil Engineering,2,20 - 30 yrs,"below 2,00,000 INR",,3,Salary is my only concern,"Yes, everyday",Will leave the office before 7 PM,4,No,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,2,
17,Female,Development,4,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,4,Yes,"Yes, everyday",1 hour maximum,4,No,Yes,Sometimes,once in a week,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,3,
18,Female,Senior voice associate,5,31- 40 yrs,"3,50,000 - 4,49,999 INR",,3,No,"Yes, everyday",1 hour maximum,4,No,Sometimes,Sometimes,Only during meetings,Never,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,No,,8 - 10 hours,2,
19,Male,"Site engineer,NDE department",1,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,4,No,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,No,No,No,8 - 10 hours,5,
20,Male,Digital Project Manager,7,31- 40 yrs,1000000,,2,No,"Yes, everyday",More than 3 hours,5,No,Yes,Never,everyday,Sometimes,"Yes, I would","Yes, I have",Bachelor's degree,No,Not a parent,No,,More than 10 hours,5,
21,Male,Lead engineer -R&D,5,20 - 30 yrs,750000,,5,Yes,"No, I don't bring my work back home",I don't stay overtime,3,Yes,No,Never,Depends,Sometimes,Maybe,"No, I haven't",Master's degree,No,Not a parent,No,,8 - 10 hours,4,
22,Male,Aviation,5,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,1,Salary is my only concern,Sometimes ( depends on the urgency of the work),1 hour maximum,1,Yes,Sometimes,Sometimes,everyday,Sometimes,"Yes, I would","Yes, I have",Bachelor's degree,No,No,No,,8 - 10 hours,3,
23,Female,HR,5,31- 40 yrs,Na,,3,Yes,"Yes, everyday",1 hour maximum,3,No,Yes,Sometimes,everyday,Very often,"Yes, I would","No, I haven't",Master's degree,No,Not a parent,No,,8 - 10 hours,4,
24,Male,Aerospace Engineer,5,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,3,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,3,No,Sometimes,Never,Depends,Sometimes,Maybe,"Yes, I have",Bachelor's degree,Yes,Not a parent,No,Nothing as such,8 - 10 hours,3,
25,Male,Inside sales,8,31- 40 yrs,"9,00,000",,4,Yes,"No, I don't bring my work back home",I don't stay overtime,1,Yes,No,Never,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,No issues,8 - 10 hours,4,
26,Male,Sales/bidding - Sr. Director Account Management ,10,31- 40 yrs,₹1300000,,6,Yes,"Yes, everyday",1 hour maximum,2,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,No,No,No,More than 10 hours,5,
27,Female,Assistant Professor,3,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,1,Yes,No,Never,Depends,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,Limitations of infrastructure is a core issue.Rest everything fine,Less than 5 hours,4,
28,Female,Environmental Economics,1,20 - 30 yrs,"5,50,000 - 6,50,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,2,No,Sometimes,Never,everyday,Very often,Maybe,"No, I haven't",Master's degree,No,Not a parent,No,,8 - 10 hours,4,
29,Male,Civil,8,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,3,No,"No, I don't bring my work back home",Will leave the office before 7 PM,0,No,Yes,Never,everyday,Very often,Maybe,"No, I haven't",Bachelor's degree,Yes,Not a parent,Yes,,More than 10 hours,2,
30,Female,Medical billing,5,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,4,Yes,Sometimes,Never,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,Noo,8 - 10 hours,4,
31,Female,BI Developer ,5,20 - 30 yrs,"5,50,000 - 6,50,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,1,Yes,Yes,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,Not a parent,No,None so far,5 - 7 hours,5,
32,Female,Analyst,5,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,5,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,3,Yes,Sometimes,Never,once in a week,Very often,"Yes, I would","Yes, I have",Bachelor's degree,Yes,Not a parent,Yes,,5 - 7 hours,3,
33,Male,Team leader in medical billing office,14,31- 40 yrs,"4,50,000 - 5,49,999 INR",,5,Yes,"No, I don't bring my work back home",1 hour maximum,4,Yes,Sometimes,Never,Only during meetings,Sometimes,Never,"Yes, I have",Bachelor's degree,No,Yes,No,No,8 - 10 hours,4,
34,Male,Tourism,1,20 - 30 yrs,"below 2,00,000 INR",,2,Salary is my only concern,"No, I don't bring my work back home",I don't stay overtime,5,No,No,Yes,everyday,Sometimes,Maybe,"Yes, I have",Bachelor's degree,No,Not a parent,Yes,"Treating me like a slave,
That's All.",More than 10 hours,2,
35,Female,Nurse incharge ,14,31- 40 yrs,"below 2,00,000 INR",,4,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,4,No,Sometimes,Sometimes,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,Yes,Yes,,8 - 10 hours,4,
36,Male,Days scientist,3,20 - 30 yrs,NA,,6,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,5,Yes,No,Never,everyday,Very often,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,No,No free food!,Less than 5 hours,5,
37,Male,Social work ,1,20 - 30 yrs,"below 2,00,000 INR",,4,No,"No, I don't bring my work back home",I don't stay overtime,3,Yes,No,Yes,Depends,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,"No
",8 - 10 hours,5,
38,Male,Associate ,1,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,Yes,"No, I don't bring my work back home",I don't stay overtime,2,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,Yes,Not a parent,No,Na,8 - 10 hours,4,
39,Female,Consultant,7,20 - 30 yrs,"5,50,000 - 6,50,000 INR",,4,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,4,No,Sometimes,Never,Depends,Sometimes,"Yes, I would","No, I haven't",Master's degree,Yes,Not a parent,No,Long working hours,8 - 10 hours,4,
40,Female,Operation specialist-pharmacovigilance,3,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,3,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,3,Yes,Yes,Never,Depends,Sometimes,Never,"No, I haven't",Master's degree,No,Not a parent,No,,8 - 10 hours,3,
41,Male,Engineer ,2,20 - 30 yrs,"5,50,000 - 6,50,000 INR",,4,No,"Yes, everyday",1 hour maximum,4,Yes,No,Never,Only during meetings,Sometimes,Never,"Yes, I have",Master's degree,No,Not a parent,No,,5 - 7 hours,4,
42,Female,Assistant professor,5,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,3,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,0,Yes,Sometimes,Never,everyday,Sometimes,Never,"No, I haven't",Master's degree,No,Yes,No,,Less than 5 hours,5,
43,Female,Collectorate,1,20 - 30 yrs,"below 2,00,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,3,Yes,Yes,Never,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,5 - 7 hours,5,
44,Female,KSEB,16,41 - 50 yrs,900000,,6,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,5,Yes,No,Never,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,No,5 - 7 hours,5,
45,Female,Stress engineer ,4,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,3,No,"No, I don't bring my work back home",1 hour maximum,1,Yes,Sometimes,Never,everyday,Sometimes,"Yes, I would","Yes, I have",Master's degree,No,No,No,,8 - 10 hours,5,
46,Male,Personal fitness Consultant,4,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,0,Yes,No,Never,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,Till now I’m very happy with my job.,5 - 7 hours,5,
47,Female,Private company (Royal enfield - CRE),3,20 - 30 yrs,"below 2,00,000 INR",,6,Yes,"No, I don't bring my work back home",I don't stay overtime,4,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,Not a parent,No,No  i have no problem,8 - 10 hours,5,
48,Female,Non-Profit organization,11,31- 40 yrs,"5,50,000 - 6,50,000 INR",,5,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,0,Yes,No,Never,once in a week,Very often,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,No,,5 - 7 hours,5,
49,Female,Teacher,22,41 - 50 yrs,680000,,5,Yes,"Yes, everyday",1 hour maximum,0,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,No,5 - 7 hours,5,
50,Female,Private Company(Royal Enfield),3,31- 40 yrs,"below 2,00,000 INR",,6,Yes,"No, I don't bring my work back home",I don't stay overtime,4,Yes,Yes,Yes,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,No,No,No I have no problem,8 - 10 hours,4,
51,Male,Fitness consultant ,7,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,4,Yes,Sometimes,Never,once in a week,Sometimes,Never,"No, I haven't",Bachelor's degree,Yes,Yes,No,No,5 - 7 hours,3,
52,Female,Public sector,29,Above 50 yrs,1400000,,5,No,Sometimes ( depends on the urgency of the work),1 hour maximum,3,No,No,Sometimes,Depends,Sometimes,Never,"No, I haven't",Master's degree,No,Yes,No,Not so comfortable for work,5 - 7 hours,3,
53,Female,Anchor in an online media firm,1,20 - 30 yrs,"below 2,00,000 INR",,5,Yes,"No, I don't bring my work back home",1 hour maximum,3,Yes,Sometimes,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,Not a parent,No,No,8 - 10 hours,4,
54,Male,IT(system administrator) ,5,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,3,No,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,5,
55,Male,Operations executive ,1,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,Yes,"No, I don't bring my work back home",I don't stay overtime,3,Yes,Sometimes,Sometimes,once in a week,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,Not a parent,No,The salary is not as expected. ,8 - 10 hours,4,
56,Male,Medical professionals (cardiovascular technologist) ,2,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,2,Yes,"No, I don't bring my work back home",I have stayed over night,4,No,Yes,Sometimes,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,Working in india is so hard. Workload and working hours are too high,More than 10 hours,3,
57,Female,Lead Associate Auditor,4,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,4,Yes,"Yes, everyday",More than 3 hours,5,Yes,Yes,Never,Depends,Very often,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,No,NA,More than 10 hours,4,
58,Female,Govt.Employee,13,41 - 50 yrs,"3,50,000 - 4,49,999 INR",,5,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,2,Yes,No,Never,everyday,Very often,Never,"No, I haven't",Bachelor's degree,No,No,No,No,5 - 7 hours,3,
59,Male,Banking ,1,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,Yes,"No, I don't bring my work back home",I don't stay overtime,5,Yes,No,Sometimes,everyday,Very often,Maybe,"No, I haven't",Master's degree,No,No,No,,5 - 7 hours,3,
60,Male,Team leader in AR,10,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,5,Yes,"No, I don't bring my work back home",1 hour maximum,3,Yes,Yes,Sometimes,Depends,Sometimes,Maybe,"Yes, I have",Master's degree,No,Yes,No,Handling the fresher and making them to understand the importance of the work,More than 10 hours,4,
61,Female,Medical billing ,2,20 - 30 yrs,"below 2,00,000 INR",,6,Yes,"No, I don't bring my work back home",1 hour maximum,2,Yes,No,Never,everyday,Very often,Never,"No, I haven't",Bachelor's degree,Yes,Not a parent,No,I have never faced any problems in my workplace ,8 - 10 hours,5,
62,Male,Business,12,Above 50 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,"Yes, everyday",I don't stay overtime,5,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,No,No,,5 - 7 hours,5,
63,Male,Local Self Govefnment Kerala as Clerk,11,Above 50 yrs,1000000,,3,Yes,"Yes, everyday",I have stayed over night,5,Yes,Yes,Never,everyday,Very often,Maybe,"No, I haven't",Bachelor's degree,No,No,No,,8 - 10 hours,5,
64,Male,Publication research,20,41 - 50 yrs,15 lakh,,5,Yes,"No, I don't bring my work back home",1 hour maximum,3,Yes,No,Never,everyday,Very often,Never,"No, I haven't",Master's degree,No,No,No,No,5 - 7 hours,5,
65,Male,Associate Vice President,36,Above 50 yrs,2600000 INR,,6,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,2,Yes,No,Never,everyday,Very often,"Yes, I would","No, I haven't",Master's degree,No,No,No,Nil,More than 10 hours,5,
66,Male,Government employee,30,Above 50 yrs,"5,50,000 - 6,50,000 INR",,4,Yes,"No, I don't bring my work back home",I don't stay overtime,2,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,Nil,5 - 7 hours,3,
67,Male,Information Technology ,14,31- 40 yrs,"5,50,000 - 6,50,000 INR",,4,Salary is my only concern,"No, I don't bring my work back home",Will leave the office before 7 PM,3,Yes,No,Sometimes,Depends,Sometimes,Never,"Yes, I have",Master's degree,Yes,Not a parent,No,,8 - 10 hours,3,
68,Male,Project Manager,13,31- 40 yrs,"5,50,000 - 6,50,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),I have stayed over night,3,Yes,No,Never,Depends,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,,8 - 10 hours,4,
69,Male,Media,11,31- 40 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,4,Yes,No,Never,everyday,Sometimes,Never,"No, I haven't",Master's degree,No,No,No,Nop,8 - 10 hours,3,
70,Male,Clerk,10,31- 40 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,"Yes, everyday",1 hour maximum,5,Yes,Sometimes,Sometimes,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,Yes,No,No,8 - 10 hours,4,
71,Female,Malayala manorama online customer support,10,31- 40 yrs,"2,00,000 - 3,49,999 INR",,6,Yes,"No, I don't bring my work back home",I don't stay overtime,0,Yes,No,Never,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,No.Am fully satisfied with my Malayala Manorama online team.,8 - 10 hours,5,
72,Female,Seniors Assistant ,25,41 - 50 yrs,"5,50,000 - 6,50,000 INR",,6,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,2,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,No,No,No,8 - 10 hours,5,
73,Male,Software Engineer,12,31- 40 yrs,"5,50,000 - 6,50,000 INR",,4,Yes,Sometimes ( depends on the urgency of the work),I don't stay overtime,2,Yes,No,Sometimes,once in a week,Very often,Maybe,"No, I haven't",Bachelor's degree,No,No,No,Not applicable ,8 - 10 hours,3,
74,Female,Risk analyst,2,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,2,No,"No, I don't bring my work back home",I don't stay overtime,0,No,No,Yes,once in a week,Very often,Never,"Yes, I have",Bachelor's degree,Yes,Not a parent,Yes,,8 - 10 hours,3,
75,Female,Sub Engineer in KSEBL,2,41 - 50 yrs,"3,50,000 - 4,49,999 INR",,6,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,4,No,Sometimes,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,,8 - 10 hours,5,
76,Male,Software ,9,20 - 30 yrs,"5,50,000 - 6,50,000 INR",,6,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,1,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,Yes,No,No,,8 - 10 hours,5,
77,Male,Software engineer,10,31- 40 yrs,"5,50,000 - 6,50,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,1,Yes,No,Never,everyday,Very often,Maybe,"Yes, I have",Master's degree,No,No,No,Nothing special,8 - 10 hours,4,
78,Male,Clerk,12,Above 50 yrs,"5,50,000 - 6,50,000 INR",,5,No,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,0,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,,5 - 7 hours,5,
79,Female,Senior assistant in kseb,10,31- 40 yrs,"4,50,000 - 5,49,999 INR",,6,Yes,"No, I don't bring my work back home",1 hour maximum,1,Yes,No,Never,everyday,Very often,Maybe,"No, I haven't",Bachelor's degree,No,Yes,No,Nothing,5 - 7 hours,5,
80,Male,KSEB - Senior Assistant,11,Above 50 yrs,"7,50,000 - 8,50,000",,6,Salary is my only concern,Sometimes ( depends on the urgency of the work),1 hour maximum,4,Yes,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Yes,No,Many co-workers  burden others bypassing the job they supposed to do,5 - 7 hours,4,
81,Female,Customer Support,1,20 - 30 yrs,"below 2,00,000 INR",,6,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,4,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,I am happy and comfortable in my workplace..I didn't faced any problems yet. ,8 - 10 hours,5,
82,Female,Customer Support,2,20 - 30 yrs,"below 2,00,000 INR",,6,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,3,Yes,No,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,I didn't faced any problems yet..Am totally satisfied in my work and work place..,8 - 10 hours,5,
83,Female,Software development engineer,9,31- 40 yrs,100000,,6,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,3,Yes,No,Sometimes,everyday,Very often,"Yes, I would","No, I haven't",Master's degree,Yes,No,No,,8 - 10 hours,4,
84,Male,Junior assistant in manappuram finance limited,1,20 - 30 yrs,"below 2,00,000 INR",,3,No,Sometimes ( depends on the urgency of the work),1 hour maximum,3,Yes,No,Yes,everyday,Very often,Maybe,"No, I haven't",Bachelor's degree,Yes,Not a parent,No,No,8 - 10 hours,4,
85,Female,Business development associate ,1,20 - 30 yrs,"7,00,000",,5,Yes,"No, I don't bring my work back home",1 hour maximum,3,No,Sometimes,Never,everyday,Very often,Maybe,"No, I haven't",Bachelor's degree,Yes,No,No,,More than 10 hours,4,
86,Male,Manager.  Publications company ,33,Above 50 yrs,Above 1 lakh,,4,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,3,Yes,Sometimes,Sometimes,Depends,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,Nothing special ,5 - 7 hours,4,
87,Female,Clerk,16,41 - 50 yrs,"5,50,000 - 6,50,000 INR",,6,No,Sometimes ( depends on the urgency of the work),I don't stay overtime,5,No,Sometimes,Sometimes,everyday,Sometimes,Never,"No, I haven't",Master's degree,No,Yes,No,,5 - 7 hours,5,
88,Female,Electricity transmission construction,20,41 - 50 yrs,1367679,,6,No,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,1,Yes,Yes,Never,Depends,Sometimes,Never,"No, I haven't",Diploma,No,Yes,No,Nothing,8 - 10 hours,5,
